"PilotRank","Priority","SOP","OwnerRole","PilotType","Trigger","RequiredProof","MikeNeeded","PilotStatus","AuditStatus","ReleaseStatus"
"1","P0","Smartlead access/readiness check","Systems Director","Real event or controlled non-production test","Before live prospecting sends","Read-only readiness pass","No","Pass - API, warmup, and prospecting preflight proof ready for audit; no live sends run","Pending","Pending"
"1","P0","Smartlead API access and readiness preflight","Systems Director","First real low-risk event","Before any live cold prospect sends","Read-only preflight pass and blocker list","Conditional","Pass - API/warmup preflight proof ready for audit; no live sends run","Pending","Pending"
"2","P0","Sending domain readiness and warmup","Systems Director","First real low-risk event","New outreach domain or mailbox","Warmup/status proof and safe send cap","No","Waiting for event","Pending","Pending"
"3","P0","Prospect QA and suppression","Sales Manager","First real low-risk event","Before import or send","Keep/hold decisions and suppression proof","No","Waiting for event","Pending","Pending"
"4","P0","Cold email launch approval packet","Manager","First real low-risk event","Campaign ready to send","Mike-ready approval packet or blocked status","Conditional","Waiting for event","Pending","Pending"
"5","P0","Cold email live send guardrail","Manager","First real low-risk event","Launch request","Safe launch decision, cap, and proof","Conditional","Waiting for event","Pending","Pending"
"6","P0","Unsubscribe and do-not-contact handling","Systems Director","First real low-risk event","Prospect opts out or complains","Suppression logged across tools","No","Waiting for event","Pending","Pending"
"7","P0","Reply routing and classification","Sales Rep","First real low-risk event","Prospect replies","Report, book, objection, unsubscribe, no-fit, or nurture status","No","Waiting for event","Pending","Pending"
"8","P0","Free visibility check request intake","Sales Rep","First real low-risk event","Website CTA or manual request","Lead record and report job","No","Waiting for event","Pending","Pending"
"9","P0","Free visibility scan research","Scout","First real low-risk event","Free report requested","Public scan notes","No","Waiting for event","Pending","Pending"
"10","P0","Prospect visibility report build","Reporter","First real low-risk event","Scout scan complete","One-page conversion report","No","Waiting for event","Pending","Pending"
"11","P0","Prospect report claim audit","Auditor","First real low-risk event","Report ready","Pass/fail with edits","No","Waiting for event","Pending","Pending"
"12","P0","Prospect report delivery email","Sales Rep","First real low-risk event","Auditor approves report","Report email sent and logged","No","Waiting for event","Pending","Pending"
"13","P0","Partner application review","Sales Manager","First real low-risk event","New `partner_application` task","Approve, flag, or decline decision","No","Waiting for event","Pending","Pending"
"14","P0","Partner code and referral link generation","Sales Manager","First real low-risk event","Applicant approved","Partner code and `/ref/code` link","No","Waiting for event","Pending","Pending"
"15","P0","Approved partner email","Sales Rep","First real low-risk event","Partner approved","Approval email with link","No","Waiting for event","Pending","Pending"
"16","P0","Flagged partner escalation","Manager","First real low-risk event","Applicant needs Mike decision","Slack/Mike packet and no applicant email yet","Conditional","Waiting for event","Pending","Pending"
"17","P0","Pricing and checkout link handling","Sales Rep","First real low-risk event","Prospect asks to buy or asks price","Correct link and plan explanation","No","Waiting for event","Pending","Pending"
"18","P0","Closed-won handoff","Sales Rep","First real low-risk event","Payment, signed approval, or Mike-approved manual start","Manager onboarding handoff","No","Waiting for event","Pending","Pending"
"19","P0","Sales-to-client handoff","Manager","First real low-risk event","Closed won","Onboarding opened and owner assigned","No","Candidate identified - friend test client","Pending","Pending"
